respondent_id,pile_name,n_items_in_pile,items
R001,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R001,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R001,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R001,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R001,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R002,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R002,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R002,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R002,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R002,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R003,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R003,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R003,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R003,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R003,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R004,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R004,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R004,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R004,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R004,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R005,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R005,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R005,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R005,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R005,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R006,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R006,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R006,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R006,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R006,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R007,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R007,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R007,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R007,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R007,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R008,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R008,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R008,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R008,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R008,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R009,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R009,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R009,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R009,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R009,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R010,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R010,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R010,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R010,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R010,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R011,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R011,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R011,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R011,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R011,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R012,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R012,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R012,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R012,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R012,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R013,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R013,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R013,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R013,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R013,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R014,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R014,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R014,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R014,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R014,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R015,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R015,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R015,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R015,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R015,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R016,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R016,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R016,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R016,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R016,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R017,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R017,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R017,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R017,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R017,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R018,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R018,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R018,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R018,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R018,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R019,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R019,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R019,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R019,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R019,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R020,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R020,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R020,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R020,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R020,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R021,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R021,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R021,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R021,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R021,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R022,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R022,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R022,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R022,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R022,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R023,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R023,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R023,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R023,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R023,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R024,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R024,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R024,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R024,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R024,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R025,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R025,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R025,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R025,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R025,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R026,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R026,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R026,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R026,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R026,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R027,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R027,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R027,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R027,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R027,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R028,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R028,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R028,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R028,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R028,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R029,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R029,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R029,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R029,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R029,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R030,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R030,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R030,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R030,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R030,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R031,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R031,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R031,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R031,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R031,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R032,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R032,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R032,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R032,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R032,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R033,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R033,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R033,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R033,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R033,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R034,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R034,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R034,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R034,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R034,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R035,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R035,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R035,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R035,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R035,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R036,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R036,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R036,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R036,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R036,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R037,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R037,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R037,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R037,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R037,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R038,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R038,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R038,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R038,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R038,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R039,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R039,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R039,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R039,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R039,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R040,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R040,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R040,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R040,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R040,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R041,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R041,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R041,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R041,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R041,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R042,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R042,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R042,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R042,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R042,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R043,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R043,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R043,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R043,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R043,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R044,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R044,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R044,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R044,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R044,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R045,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R045,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R045,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R045,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R045,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R046,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R046,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R046,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R046,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R046,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R047,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R047,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R047,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R047,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R047,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R048,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R048,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R048,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R048,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R048,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R049,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R049,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R049,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R049,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R049,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R050,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R050,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R050,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R050,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R050,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
